CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2369	2381	-159.992	0.000	0.8275	0.5434	1
2369	2421	68.026	0.000	0.8667	0.5900	1
2369	2453	-51.995	0.000	0.8867	0.6529	1
2369	2468	-14.015	0.000	0.9806	0.8420	1
2369	2514	42.047	0.000	0.7764	0.4951	1
2369	2527	-36.000	0.000	0.9308	0.6820	1
2369	2589	42.086	0.000	0.7478	0.5125	1
2369	2600	32.087	0.000	0.7304	0.3388	1
2369	2651	68.026	0.000	0.7189	0.4266	1
2369	2689	26.016	0.000	0.9858	0.7958	1
2369	2758	-112.016	0.000	0.8529	0.5837	1
2369	2768	-14.015	0.000	0.9639	0.7419	1
2369	2791	86.037	0.000	0.7093	0.6241	1
2369	2881	-228.079	0.000	0.8995	0.7102	1
2369	3035	-78.010	0.000	0.8498	0.5972	1
2369	3111	-28.031	0.000	0.9753	0.7340	1
2369	3158	-36.000	0.000	0.9308	0.6820	1
2369	3261	14.016	0.000	0.7279	0.5173	1
2369	3268	-76.905	0.000	0.7092	0.4001	1
2369	3286	-62.015	0.000	0.8591	0.5912	1
2369	3345	-50.015	0.000	0.9179	0.6548	1
2369	3385	-2.016	0.000	0.9150	0.6967	1
2369	3426	32.086	0.000	0.7336	0.3685	1
2369	3430	-36.996	0.000	0.9326	0.6514	1
2369	3441	-16.031	0.000	0.9708	0.7372	1
2369	3497	-54.047	0.000	0.8407	0.6489	1
2370	2492	15.994	0.000	0.9269	0.7074	1
2370	2506	-103.008	0.000	0.7961	0.5548	1
2370	2586	-32.007	0.000	0.7118	0.5699	1
2370	2663	18.009	0.000	0.7555	0.5183	1
2370	3048	84.056	0.000	0.8825	0.6423	1
2371	3425	-100.051	0.000	0.7140	0.6084	1
2372	2907	-154.121	0.000	0.7920	0.5891	1
2372	3524	21.984	0.000	0.7029	0.5199	1
2373	2770	0.000	0.000	1.0000	1.0000	1
2375	2430	46.006	0.000	0.7953	0.6260	1
2375	2439	-0.000	0.000	0.9319	0.7799	1
2375	2529	-40.980	0.000	0.8070	0.5182	1
2375	2845	-72.021	0.000	0.8765	0.6431	1
2375	2869	84.105	0.000	0.7316	0.6057	1
2375	2873	-54.994	0.000	0.7253	0.4902	1
2375	3184	-106.974	0.000	0.7626	0.4764	1
2375	3223	-58.945	0.000	0.8707	0.6568	1
2375	3305	36.996	0.000	0.7189	0.4912	1
2375	3327	-57.058	0.000	0.8410	0.6743	1
2375	3339	-72.021	0.000	0.8757	0.7394	1
2375	3455	-70.990	0.000	0.7618	0.5346	1
2376	2554	840.506	0.000	0.8087	0.6549	1
2376	3473	176.108	0.000	0.7810	0.5358	1
2376	3515	264.160	0.000	0.7258	0.4853	1
2377	2588	39.993	0.000	0.7010	0.6079	1
2377	2758	9.982	0.000	0.7282	0.5824	1
2377	2932	-14.017	0.000	0.7103	0.7197	1
2377	3262	15.993	0.000	0.7135	0.6462	1
2377	3286	59.983	0.000	0.7852	0.6192	1
2378	2386	1.940	0.000	0.7251	0.5591	1
2378	2437	-40.107	0.000	0.7302	0.5615	1
2378	2600	-18.004	0.000	0.7701	0.6441	1
2378	2643	-21.065	0.000	0.7645	0.5583	1
2378	2842	-104.066	0.000	0.7188	0.4821	1
2378	2892	31.987	0.000	0.7307	0.4626	1
2378	2897	16.000	0.000	0.8124	0.5378	1
2378	2906	-21.065	0.000	0.7376	0.5127	1
2378	2934	-15.953	0.000	0.8149	0.7426	1
2378	3002	-15.953	0.000	0.7305	0.6400	1
2378	3083	-21.064	0.000	0.7513	0.5881	1
2378	3091	-82.080	0.000	0.7091	0.5000	1
2378	3155	-37.060	0.000	0.7207	0.5019	1
2378	3163	-21.065	0.000	0.7095	0.4719	1
2378	3204	15.992	0.000	0.8208	0.7077	1
2378	3205	-12.039	0.000	0.7431	0.5557	1
2378	3258	1.940	0.000	0.7243	0.5619	1
2378	3259	-16.033	0.000	0.7108	0.6346	1
2378	3300	-0.123	0.000	0.7778	0.7212	1
2378	3324	-21.065	0.000	0.7565	0.5809	1
2378	3419	-42.050	0.000	0.7356	0.6016	1
2378	3426	-18.005	0.000	0.7606	0.5554	1
2379	3259	0.949	0.000	0.7056	0.7692	1
2381	2398	-13.979	0.000	0.7002	0.5470	1
2381	2421	228.019	0.000	0.8001	0.6798	1
2381	2453	107.998	0.000	0.7801	0.6344	1
2381	2468	145.977	0.000	0.8429	0.6402	1
2381	2527	123.993	0.000	0.8124	0.5947	1
2381	2600	192.079	0.000	0.7154	0.4038	1
2381	2689	186.008	0.000	0.8307	0.5452	1
2381	2758	47.976	0.000	0.7469	0.5997	1
2381	2768	145.977	0.000	0.8165	0.5215	1
2381	2881	-68.086	0.000	0.8967	0.6675	1
2381	2884	-15.996	0.000	0.8199	0.6359	1
2381	3035	81.982	0.000	0.7542	0.6344	1
2381	3158	123.993	0.000	0.8124	0.5947	1
2381	3192	129.946	0.000	0.8146	0.5404	1
2381	3286	97.977	0.000	0.7626	0.5930	1
2381	3345	109.977	0.000	0.8192	0.6018	1
2381	3385	157.977	0.000	0.7977	0.5404	1
2381	3426	192.078	0.000	0.7158	0.4370	1
2381	3430	122.997	0.000	0.8238	0.6329	1
2381	3441	143.962	0.000	0.8252	0.5271	1
2381	3497	105.946	0.000	0.7469	0.5694	1
2382	2456	154.101	0.000	0.8224	0.7887	1
2382	2461	189.137	0.000	0.7782	0.7439	1
2382	3128	207.148	0.000	0.7579	0.6534	1
2382	3250	-110.146	0.000	0.8305	0.7374	1
