CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2192	2203	-246.196	0.000	0.8823	0.6567	1
2192	2332	-246.197	0.000	0.7773	0.5556	1
2192	2400	229.116	0.000	0.7250	0.4811	1
2192	2772	-71.984	0.000	0.7048	0.5618	1
2192	2782	-14.015	0.000	0.8933	0.6571	1
2192	2810	14.016	0.000	0.9040	0.6816	1
2192	3382	211.142	0.000	0.7380	0.5751	1
2192	3685	-71.985	0.000	0.7740	0.4669	1
2193	2371	-2.016	0.000	0.7310	0.7748	1
2193	2527	-38.088	0.000	0.7014	0.6717	1
2193	2679	-162.052	0.000	0.8115	0.7332	1
2193	3289	-24.036	0.000	0.7255	0.7313	1
2193	3393	1.979	0.000	0.7380	0.6485	1
2193	3454	-22.020	0.000	0.7002	0.6943	1
2193	3481	1.979	0.000	0.7432	0.6262	1
2193	3496	-24.036	0.000	0.7269	0.7232	1
2193	3658	3.959	0.000	0.7081	0.5518	1
2193	3941	-38.088	0.000	0.7014	0.6717	1
2194	4080	-18.015	0.000	0.7110	0.5778	1
2195	2224	122.073	0.000	0.9137	0.6648	1
2195	2229	122.073	0.000	0.9216	0.7278	1
2195	2244	352.116	0.000	0.8169	0.5927	1
2195	2272	10.983	0.000	0.8084	0.6410	1
2195	2378	190.062	0.000	0.7632	0.4902	1
2195	2399	104.062	0.000	0.7551	0.5866	1
2195	2655	161.072	0.000	0.8303	0.5035	1
2195	2670	161.072	0.000	0.8303	0.5035	1
2195	2711	87.035	0.000	0.7558	0.4668	1
2195	2741	174.068	0.000	0.8195	0.5101	1
2195	2800	157.041	0.000	0.8378	0.5608	1
2195	2823	-3.011	0.000	0.7586	0.4706	1
2195	2830	192.078	0.000	0.8176	0.4430	1
2195	2848	161.072	0.000	0.8303	0.5035	1
2195	3029	192.078	0.000	0.8370	0.5926	1
2195	3092	192.078	0.000	0.8176	0.4430	1
2195	3176	52.979	0.000	0.8248	0.6112	1
2195	3234	70.006	0.000	0.7986	0.4902	1
2195	3256	164.084	0.000	0.8396	0.5502	1
2195	3542	192.079	0.000	0.8370	0.5926	1
2195	3560	30.047	0.000	0.7828	0.6041	1
2195	3806	157.041	0.000	0.8378	0.5608	1
2195	4096	10.983	0.000	0.7537	0.4748	1
2196	4080	16.996	0.000	0.7139	0.6263	1
2197	2529	-6.047	0.000	0.8739	0.6899	1
2197	3570	150.051	0.000	0.7361	0.3083	1
2197	3575	38.052	0.000	0.8914	0.6481	1
2197	3810	275.051	0.000	0.7255	0.3718	1
2197	3952	42.011	0.000	0.8584	0.6457	1
2202	2209	-164.047	0.000	0.7120	0.6320	1
2202	2272	0.000	0.000	0.7796	0.5660	1
2202	2314	30.011	0.000	0.8140	0.6264	1
2202	3733	341.133	0.000	0.7746	0.6013	1
2202	3770	341.133	0.000	0.7746	0.6013	1
2202	3781	162.053	0.000	0.9432	0.7227	1
2203	2332	-0.001	0.000	0.7776	0.5230	1
2203	2400	475.313	0.000	0.7468	0.4932	1
2203	2782	232.181	0.000	0.9202	0.7227	1
2203	2810	260.212	0.000	0.9218	0.6875	1
2203	3382	457.338	0.000	0.7170	0.5088	1
2203	3685	174.211	0.000	0.7828	0.4505	1
2206	2223	-14.016	0.000	0.8146	0.4290	1
2206	2277	-146.058	0.000	0.7940	0.4165	1
2206	2304	-14.014	0.000	0.7561	0.4100	1
2206	2379	-176.032	0.000	0.8512	0.4046	1
2206	2420	-0.033	0.000	0.8978	0.5537	1
2206	2531	176.035	0.000	0.7496	0.6015	1
2206	2685	15.996	0.000	0.7137	0.3082	1
2206	2699	-42.010	0.000	0.7458	0.3597	1
2206	2731	15.998	0.000	0.7265	0.4298	1
2206	3008	15.995	0.000	0.7137	0.3082	1
2206	3050	163.977	0.000	0.7288	0.5903	1
2206	3068	13.980	0.000	0.7747	0.4675	1
2206	3073	13.979	0.000	0.7747	0.4675	1
2206	3096	176.035	0.000	0.7175	0.5422	1
2206	3119	-146.022	0.000	0.8491	0.4363	1
2206	3149	-13.979	0.000	0.8608	0.4515	1
2206	3191	80.864	0.000	0.7808	0.4850	1
2206	3238	108.896	0.000	0.7112	0.5357	1
2206	3320	94.917	0.000	0.7012	0.4854	1
2206	3512	0.000	0.000	0.8453	0.4910	1
2206	3569	162.053	0.000	0.9121	0.6176	1
2206	3572	17.975	0.000	0.9354	0.5776	1
